source,job_title,company_name,job_location,job_type,category,salary_min,salary_max,salary_avg,salary_range,salary_currency,experience_required,education_required,skills_required,job_description
BongThom,Financial Analyst,Hattha Bank,Phnom Penh,Internship,Banking & Finance,,,,,,0,bachelor,loan processing; excel; risk management; sql; khmer; bloomberg,"We are looking for a talented Financial Analyst to join our team at Hattha Bank. The candidate will be responsible for contributing to our banking & finance operations in Phnom Penh. This is an internship opportunity suitable for fresh graduates. Required skills include: loan processing, excel, risk management. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
KhmerOnline,Events Coordinator,Park Hyatt Siem Reap,Preah Vihear,Full-time,Hospitality & Tourism,325.0,3566.0,1945.5,3241.0,USD,3,master,opera pms; teamwork,"We are looking for a talented Events Coordinator to join our team at Park Hyatt Siem Reap. The candidate will be responsible for contributing to our hospitality & tourism operations in Preah Vihear. Required skills include: opera pms, teamwork. Minimum 3 year(s) of relevant experience required. Education: Master degree or equivalent preferred."
Khmer24,Real Estate Analyst,Real Estate 7,Phnom Penh,Contract,Real Estate,,,,,,1,high school,real estate law; valuation; english; ms office; market research; negotiation; networking,"We are looking for a talented Real Estate Analyst to join our team at Real Estate 7. The candidate will be responsible for contributing to our real estate operations in Phnom Penh. Required skills include: real estate law, valuation, english. Minimum 1 year(s) of relevant experience required. Education: High School degree or equivalent preferred."
Khmer24,Curriculum Developer,Norton University,Phnom Penh,Full-time,Education & Training,419.0,4100.0,2259.5,3681.0,USD,6,bachelor,ms office; patience; classroom management; curriculum design; lesson planning,"We are looking for a talented Curriculum Developer to join our team at Norton University. The candidate will be responsible for contributing to our education & training operations in Phnom Penh. Required skills include: ms office, patience, classroom management. Minimum 6 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
BongThom,Hotel Receptionist,Heritage Suites,Siem Reap,Full-time,Hospitality & Tourism,380.0,3480.0,1930.0,3100.0,USD,2,master,hotel management; khmer; chinese,"We are looking for a talented Hotel Receptionist to join our team at Heritage Suites. The candidate will be responsible for contributing to our hospitality & tourism operations in Siem Reap. Required skills include: hotel management, khmer, chinese. Minimum 2 year(s) of relevant experience required. Education: Master degree or equivalent preferred."
Khmer24,Production Planner,Anacle Garment,Phnom Penh,Full-time,Garment & Textile,156.34,629.27,392.805,472.93,USD,1,PhD,pattern making; attention to detail; khmer; teamwork; production planning; quality inspection,"We are looking for a talented Production Planner to join our team at Anacle Garment. The candidate will be responsible for contributing to our garment & textile operations in Phnom Penh. Required skills include: pattern making, attention to detail, khmer. Minimum 1 year(s) of relevant experience required. Education: Phd degree or equivalent preferred."
BongThom,Field Coordinator,Plan International,Takeo,Full-time,Ngo & Development,274.0,5156.0,2715.0,4882.0,USD,0,bachelor,khmer; donor relations,"We are looking for a talented Field Coordinator to join our team at Plan International. The candidate will be responsible for contributing to our ngo & development operations in Takeo. Required skills include: khmer, donor relations. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
CamHR,Database Administrator,Kalibrr Cambodia,Battambang,Contract,Technology & It,465.0,4626.0,2545.5,4161.0,USD,0,bachelor,node.js; java,"We are looking for a talented Database Administrator to join our team at Kalibrr Cambodia. The candidate will be responsible for contributing to our technology & it operations in Battambang. Required skills include: node.js, java. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
BongThom,Treasury Analyst,Aba Bank,Remote,Full-time,Banking & Finance,613.0,3864.0,2238.5,3251.0,USD,3,bachelor,risk management; bloomberg; khmer; sql; english; credit analysis; loan processing; customer service,"We are looking for a talented Treasury Analyst to join our team at ABA Bank. The candidate will be responsible for contributing to our banking & finance operations in Remote. Required skills include: risk management, bloomberg, khmer. Minimum 3 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
KhmerOnline,Full Stack Developer,Smartaxiom,Phnom Penh,Internship,Technology & It,433.0,4827.0,2630.0,4394.0,USD,0,bachelor,flutter; node.js,"We are looking for a talented Full Stack Developer to join our team at SmartAxiom. The candidate will be responsible for contributing to our technology & it operations in Phnom Penh. This is an internship opportunity suitable for fresh graduates. Required skills include: flutter, node.js. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
Khmer24,Community Facilitator,Unicef Cambodia,Kandal,Contract,Ngo & Development,414.39,4640.0,2527.195,4225.61,USD,1,bachelor,advocacy; project management; m&e; donor relations; english,"We are looking for a talented Community Facilitator to join our team at UNICEF Cambodia. The candidate will be responsible for contributing to our ngo & development operations in Kandal. Required skills include: advocacy, project management, m&e. Minimum 1 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
Khmer24,Real Estate Consultant,Knight Frank Cambodia,Phnom Penh,Full-time,Real Estate,224.88,3520.98,1872.93,3296.1,USD,0,high school,communication; negotiation,"We are looking for a talented Real Estate Consultant to join our team at Knight Frank Cambodia. The candidate will be responsible for contributing to our real estate operations in Phnom Penh. Required skills include: communication, negotiation. No experience required — training provided. Education: High School degree or equivalent preferred."
BongThom,Crm Specialist,Metfone,Phnom Penh,Full-time,Customer Service,166.0,1119.0,642.5,953.0,USD,2,bachelor,customer service; data entry; khmer; english; empathy,"We are looking for a talented CRM Specialist to join our team at Metfone. The candidate will be responsible for contributing to our customer service operations in Phnom Penh. Required skills include: customer service, data entry, khmer. Minimum 2 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
CamHR,Cost Accountant,Grant Thornton,Battambang,Internship,Accounting & Audit,,,,,,0,high school,excel; sage; attention to detail; financial reporting; khmer; accounting standards; quickbooks; erp,"We are looking for a talented Cost Accountant to join our team at Grant Thornton. The candidate will be responsible for contributing to our accounting & audit operations in Battambang. This is an internship opportunity suitable for fresh graduates. Required skills include: excel, sage, attention to detail. No experience required — training provided. Education: High School degree or equivalent preferred."
CamHR,Sales Executive,Chip Mong Retail,Siem Reap,Full-time,Retail & Sales,237.0,3260.0,1748.5,3023.0,USD,6,bachelor,target driven; khmer; customer service; sales,"We are looking for a talented Sales Executive to join our team at Chip Mong Retail. The candidate will be responsible for contributing to our retail & sales operations in Siem Reap. Required skills include: target driven, khmer, customer service. Minimum 6 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
KhmerOnline,E-Commerce Specialist,Chip Mong Retail,Phnom Penh,Full-time,Retail & Sales,,,,,,6,bachelor,ms office; communication; sales; khmer,"We are looking for a talented E-commerce Specialist to join our team at Chip Mong Retail. The candidate will be responsible for contributing to our retail & sales operations in Phnom Penh. Required skills include: ms office, communication, sales. Minimum 6 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
Khmer24,Senior Accountant,Deloitte Cambodia,Phnom Penh,Contract,Accounting & Audit,315.0,3595.0,1955.0,3280.0,USD,0,master,tax law; quickbooks; sage; financial reporting; accounting standards,"We are looking for a talented Senior Accountant to join our team at Deloitte Cambodia. The candidate will be responsible for contributing to our accounting & audit operations in Phnom Penh. Required skills include: tax law, quickbooks, sage. No experience required — training provided. Education: Master degree or equivalent preferred."
Khmer24,Risk Officer,Canadia Bank,Sihanoukville,Full-time,Banking & Finance,482.68,3561.46,2022.07,3078.78,USD,2,master,sql; customer service,"We are looking for a talented Risk Officer to join our team at Canadia Bank. The candidate will be responsible for contributing to our banking & finance operations in Sihanoukville. Required skills include: sql, customer service. Minimum 2 year(s) of relevant experience required. Education: Master degree or equivalent preferred."
CamHR,English Teacher,Build Bright University,Phnom Penh,Freelance,Education & Training,293.0,3550.0,1921.5,3257.0,USD,0,PhD,lesson planning; classroom management; reporting; e-learning; khmer; patience,"We are looking for a talented English Teacher to join our team at BUILD Bright University. The candidate will be responsible for contributing to our education & training operations in Phnom Penh. Required skills include: lesson planning, classroom management, reporting. No experience required — training provided. Education: Phd degree or equivalent preferred."
BongThom,Ai/Ml Engineer,Anz Royal,Kampot,Full-time,Technology & It,583.0,6826.0,3704.5,6243.0,USD,4,bachelor,node.js; aws; linux,"We are looking for a talented AI/ML Engineer to join our team at ANZ Royal. The candidate will be responsible for contributing to our technology & it operations in Kampot. Required skills include: node.js, aws, linux. Minimum 4 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
Khmer24,Autocad Draftsman,Worldbridge Group,Phnom Penh,Full-time,Construction & Engineering,699.0,6315.0,3507.0,5616.0,USD,5,bachelor,civil 3d; concrete design,"We are looking for a talented AutoCAD Draftsman to join our team at WorldBridge Group. The candidate will be responsible for contributing to our construction & engineering operations in Phnom Penh. Required skills include: civil 3d, concrete design. Minimum 5 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
CamHR,Visual Merchandiser,Aeon Mall,Phnom Penh,Full-time,Retail & Sales,224.0,2120.0,1172.0,1896.0,USD,1,bachelor,product knowledge; sales; pos system; negotiation; target driven; communication; ms office,"We are looking for a talented Visual Merchandiser to join our team at AEON Mall. The candidate will be responsible for contributing to our retail & sales operations in Phnom Penh. Required skills include: product knowledge, sales, pos system. Minimum 1 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
Khmer24,Field Coordinator,Plan International,Battambang,Internship,Ngo & Development,436.0,4699.0,2567.5,4263.0,USD,0,bachelor,report writing; khmer; data collection; donor relations; project management; ms office; advocacy,"We are looking for a talented Field Coordinator to join our team at Plan International. The candidate will be responsible for contributing to our ngo & development operations in Battambang. This is an internship opportunity suitable for fresh graduates. Required skills include: report writing, khmer, data collection. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
CamHR,Library Assistant,Camed Business School,Siem Reap,Full-time,Education & Training,,,,,,2,bachelor,reporting; curriculum design; khmer; e-learning; communication; lesson planning; patience,"We are looking for a talented Library Assistant to join our team at CamEd Business School. The candidate will be responsible for contributing to our education & training operations in Siem Reap. Required skills include: reporting, curriculum design, khmer. Minimum 2 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
CamHR,Software Developer,Sabay Digital,Remote,Internship,Technology & It,564.0,8930.0,4747.0,8366.0,USD,0,master,node.js; react; php; mysql; python,"We are looking for a talented Software Developer to join our team at Sabay Digital. The candidate will be responsible for contributing to our technology & it operations in Remote. This is an internship opportunity suitable for fresh graduates. Required skills include: node.js, react, php. No experience required — training provided. Education: Master degree or equivalent preferred."
BongThom,Social Media Manager,Medialink Cambodia,Preah Vihear,Internship,Media & Marketing,,,,,,0,bachelor,english; content writing; canva; seo; analytics; video editing,"We are looking for a talented Social Media Manager to join our team at Medialink Cambodia. The candidate will be responsible for contributing to our media & marketing operations in Preah Vihear. This is an internship opportunity suitable for fresh graduates. Required skills include: english, content writing, canva. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
KhmerOnline,Restaurant Supervisor,Topaz Restaurant,Remote,Internship,Food & Beverage,118.0,780.0,449.0,662.0,USD,0,high school,english; barista skills; teamwork; food safety; kitchen management; khmer; customer service,"We are looking for a talented Restaurant Supervisor to join our team at Topaz Restaurant. The candidate will be responsible for contributing to our food & beverage operations in Remote. This is an internship opportunity suitable for fresh graduates. Required skills include: english, barista skills, teamwork. No experience required — training provided. Education: High School degree or equivalent preferred."
Khmer24,Foreman,Chip Mong Group,Phnom Penh,Full-time,Construction & Engineering,357.0,6091.0,3224.0,5734.0,USD,3,bachelor,negotiation; autocad; safety management; ms project; english,"We are looking for a talented Foreman to join our team at Chip Mong Group. The candidate will be responsible for contributing to our construction & engineering operations in Phnom Penh. Required skills include: negotiation, autocad, safety management. Minimum 3 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
Khmer24,Electrical Engineer,Grand Phnom Penh,Battambang,Internship,Construction & Engineering,539.0,5759.0,3149.0,5220.0,USD,0,master,safety management; project management; surveying; civil 3d; concrete design; structural analysis; autocad,"We are looking for a talented Electrical Engineer to join our team at Grand Phnom Penh. The candidate will be responsible for contributing to our construction & engineering operations in Battambang. This is an internship opportunity suitable for fresh graduates. Required skills include: safety management, project management, surveying. No experience required — training provided. Education: Master degree or equivalent preferred."
KhmerOnline,Sales Executive,Chip Mong Retail,Kampong Cham,Full-time,Retail & Sales,181.0,1613.0,897.0,1432.0,USD,0,bachelor,product knowledge; english; customer service; pos system; sales; communication; khmer; target driven,"We are looking for a talented Sales Executive to join our team at Chip Mong Retail. The candidate will be responsible for contributing to our retail & sales operations in Kampong Cham. Required skills include: product knowledge, english, customer service. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
CamHR,Program Officer,World Vision Cambodia,Remote,Full-time,Ngo & Development,233.0,3856.0,2044.5,3623.0,USD,0,none,community engagement; report writing; m&e; data collection; advocacy; donor relations; project management; khmer,"We are looking for a talented Program Officer to join our team at World Vision Cambodia. The candidate will be responsible for contributing to our ngo & development operations in Remote. Required skills include: community engagement, report writing, m&e. No experience required — training provided. Education: None degree or equivalent preferred."
BongThom,Cost Accountant,Grant Thornton,Remote,Full-time,Accounting & Audit,383.0,5213.0,2798.0,4830.0,USD,0,master,sage; quickbooks; financial reporting; tax law; accounting standards; excel,"We are looking for a talented Cost Accountant to join our team at Grant Thornton. The candidate will be responsible for contributing to our accounting & audit operations in Remote. Required skills include: sage, quickbooks, financial reporting. No experience required — training provided. Education: Master degree or equivalent preferred."
BongThom,Warehouse Keeper,Pactics Cambodia,Mondulkiri,Contract,Manufacturing,208.0,1063.0,635.5,855.0,USD,6,none,khmer; report writing; inventory; machine operation,"We are looking for a talented Warehouse Keeper to join our team at Pactics Cambodia. The candidate will be responsible for contributing to our manufacturing operations in Mondulkiri. Required skills include: khmer, report writing, inventory. Minimum 6 year(s) of relevant experience required. Education: None degree or equivalent preferred."
KhmerOnline,Property Developer,Ips Cambodia,Phnom Penh,Full-time,Real Estate,304.0,4503.0,2403.5,4199.0,USD,1,master,customer service; khmer; market research; english; communication,"We are looking for a talented Property Developer to join our team at IPS Cambodia. The candidate will be responsible for contributing to our real estate operations in Phnom Penh. Required skills include: customer service, khmer, market research. Minimum 1 year(s) of relevant experience required. Education: Master degree or equivalent preferred."
Khmer24,Construction Laborer,Borey Peng Huoth,Battambang,Full-time,Construction & Engineering,352.0,5132.0,2742.0,4780.0,USD,1,high school,autocad; civil 3d; concrete design; english; ms project; safety management; project management; structural analysis,"We are looking for a talented Construction Laborer to join our team at Borey Peng Huoth. The candidate will be responsible for contributing to our construction & engineering operations in Battambang. Required skills include: autocad, civil 3d, concrete design. Minimum 1 year(s) of relevant experience required. Education: High School degree or equivalent preferred."
Khmer24,Seed Technician,Rma Cambodia,Siem Reap,Internship,Agriculture & Farming,,,,,,0,high school,teamwork; pest control,"We are looking for a talented Seed Technician to join our team at RMA Cambodia. The candidate will be responsible for contributing to our agriculture & farming operations in Siem Reap. This is an internship opportunity suitable for fresh graduates. Required skills include: teamwork, pest control. No experience required — training provided. Education: High School degree or equivalent preferred."
CamHR,Travel Consultant,Park Hyatt Siem Reap,Kandal,Freelance,Hospitality & Tourism,,,,,,1,bachelor,khmer; hotel management; customer service; event management; communication; teamwork,"We are looking for a talented Travel Consultant to join our team at Park Hyatt Siem Reap. The candidate will be responsible for contributing to our hospitality & tourism operations in Kandal. Required skills include: khmer, hotel management, customer service. Minimum 1 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
CamHR,Wash Officer,Care Cambodia,Ratanakiri,Internship,Ngo & Development,376.1,3688.29,2032.195,3312.19,USD,0,bachelor,m&e; data collection; advocacy; project management; khmer; donor relations; ms office; community engagement,"We are looking for a talented WASH Officer to join our team at Care Cambodia. The candidate will be responsible for contributing to our ngo & development operations in Ratanakiri. This is an internship opportunity suitable for fresh graduates. Required skills include: m&e, data collection, advocacy. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
Khmer24,Branch Manager,Aba Bank,Battambang,Full-time,Banking & Finance,564.0,4489.0,2526.5,3925.0,USD,3,bachelor,loan processing; excel; financial modeling; khmer,"We are looking for a talented Branch Manager to join our team at ABA Bank. The candidate will be responsible for contributing to our banking & finance operations in Battambang. Required skills include: loan processing, excel, financial modeling. Minimum 3 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
CamHR,Visual Merchandiser,Chip Mong Retail,Phnom Penh,Full-time,Retail & Sales,167.0,1822.0,994.5,1655.0,USD,0,high school,target driven; customer service; pos system; negotiation; khmer; english; communication,"We are looking for a talented Visual Merchandiser to join our team at Chip Mong Retail. The candidate will be responsible for contributing to our retail & sales operations in Phnom Penh. Required skills include: target driven, customer service, pos system. No experience required — training provided. Education: High School degree or equivalent preferred."
KhmerOnline,Full Stack Developer,Kalibrr Cambodia,Remote,Contract,Technology & It,460.0,7471.0,3965.5,7011.0,USD,0,bachelor,sql; mysql; docker; api development; flutter; php; linux,"We are looking for a talented Full Stack Developer to join our team at Kalibrr Cambodia. The candidate will be responsible for contributing to our technology & it operations in Remote. Required skills include: sql, mysql, docker. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
KhmerOnline,Loan Officer,Amk Microfinance,Takeo,Part-time,Banking & Finance,,,,,,1,high school,excel; credit analysis; english; bloomberg; sql; risk management,"We are looking for a talented Loan Officer to join our team at AMK Microfinance. The candidate will be responsible for contributing to our banking & finance operations in Takeo. Required skills include: excel, credit analysis, english. Minimum 1 year(s) of relevant experience required. Education: High School degree or equivalent preferred."
Khmer24,Ui/Ux Designer,Cellcard,Sihanoukville,Full-time,Technology & It,505.0,7737.0,4121.0,7232.0,USD,1,bachelor,php; docker; mongodb; flutter,"We are looking for a talented UI/UX Designer to join our team at Cellcard. The candidate will be responsible for contributing to our technology & it operations in Sihanoukville. Required skills include: php, docker, mongodb. Minimum 1 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
BongThom,Agribusiness Manager,Khmer Foods,Phnom Penh,Freelance,Agriculture & Farming,259.0,1460.0,859.5,1201.0,USD,2,high school,physical fitness; agribusiness; teamwork; gis,"We are looking for a talented Agribusiness Manager to join our team at Khmer Foods. The candidate will be responsible for contributing to our agriculture & farming operations in Phnom Penh. Required skills include: physical fitness, agribusiness, teamwork. Minimum 2 year(s) of relevant experience required. Education: High School degree or equivalent preferred."
BongThom,Spa Therapist,Sokha Hotels,Remote,Full-time,Hospitality & Tourism,,,,,,0,bachelor,f&b service; english; chinese; teamwork; customer service; event management,"We are looking for a talented Spa Therapist to join our team at Sokha Hotels. The candidate will be responsible for contributing to our hospitality & tourism operations in Remote. Required skills include: f&b service, english, chinese. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
BongThom,M&E Officer,Crs Cambodia,Remote,Full-time,Ngo & Development,,,,,,2,bachelor,report writing; m&e; khmer; data collection; english; ms office,"We are looking for a talented M&E Officer to join our team at CRS Cambodia. The candidate will be responsible for contributing to our ngo & development operations in Remote. Required skills include: report writing, m&e, khmer. Minimum 2 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
Khmer24,Leasing Executive,Realestate.Com.Kh,Phnom Penh,Full-time,Real Estate,293.0,4747.0,2520.0,4454.0,USD,2,PhD,customer service; real estate law; communication; valuation; market research,"We are looking for a talented Leasing Executive to join our team at Realestate.com.kh. The candidate will be responsible for contributing to our real estate operations in Phnom Penh. Required skills include: customer service, real estate law, communication. Minimum 2 year(s) of relevant experience required. Education: Phd degree or equivalent preferred."
CamHR,Delivery Staff,Brown Coffee,Phnom Penh,Full-time,Food & Beverage,,,,,,1,bachelor,pos; kitchen management; customer service; hygiene; english; food safety,"We are looking for a talented Delivery Staff to join our team at Brown Coffee. The candidate will be responsible for contributing to our food & beverage operations in Phnom Penh. Required skills include: pos, kitchen management, customer service. Minimum 1 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
KhmerOnline,Bank Teller,Amk Microfinance,Ratanakiri,Freelance,Banking & Finance,,,,,,4,bachelor,customer service; khmer; sql; english; loan processing; risk management; excel; credit analysis,"We are looking for a talented Bank Teller to join our team at AMK Microfinance. The candidate will be responsible for contributing to our banking & finance operations in Ratanakiri. Required skills include: customer service, khmer, sql. Minimum 4 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
BongThom,Housekeeping Supervisor,Sofitel Phnom Penh,Takeo,Full-time,Hospitality & Tourism,349.0,3445.0,1897.0,3096.0,USD,3,high school,customer service; hotel management; opera pms; khmer; chinese; english; communication; f&b service,"We are looking for a talented Housekeeping Supervisor to join our team at Sofitel Phnom Penh. The candidate will be responsible for contributing to our hospitality & tourism operations in Takeo. Required skills include: customer service, hotel management, opera pms. Minimum 3 year(s) of relevant experience required. Education: High School degree or equivalent preferred."
KhmerOnline,Store Manager,Lucky Supermarket,Phnom Penh,Part-time,Retail & Sales,241.0,2539.0,1390.0,2298.0,USD,3,bachelor,sales; target driven; english; khmer; communication; customer service; ms office,"We are looking for a talented Store Manager to join our team at Lucky Supermarket. The candidate will be responsible for contributing to our retail & sales operations in Phnom Penh. Required skills include: sales, target driven, english. Minimum 3 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
KhmerOnline,Cost Accountant,Pwc Cambodia,Sihanoukville,Full-time,Accounting & Audit,352.0,4792.0,2572.0,4440.0,USD,4,bachelor,tax law; erp; quickbooks; english; financial reporting; accounting standards,"We are looking for a talented Cost Accountant to join our team at PWC Cambodia. The candidate will be responsible for contributing to our accounting & audit operations in Sihanoukville. Required skills include: tax law, erp, quickbooks. Minimum 4 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
Khmer24,Loan Officer,Chip Mong Bank,Takeo,Contract,Banking & Finance,,,,,,4,master,credit analysis; financial modeling; excel; loan processing; risk management; english; khmer; sql,"We are looking for a talented Loan Officer to join our team at Chip Mong Bank. The candidate will be responsible for contributing to our banking & finance operations in Takeo. Required skills include: credit analysis, financial modeling, excel. Minimum 4 year(s) of relevant experience required. Education: Master degree or equivalent preferred."
